AircraftType,MTOW,AssignedAircraftType
PA22,1.28,AT43
PA23,1.406,AT43
PA24,1.528,AT43
PA25,0.454,AT43
PA27,2.36,AT43
PA30,2.858,AT43
PA31,2.95,AT43
PA32,1.724,AT43
PA34,1.999,AT43
PA36,1.106,AT43
PA38,0.599,AT43
PA44,1.724,AT43
PA46,1.969,AT43
PA47,3.921,AT43
PAT4,4.717,AT43
PAY1,4.08,AT43
PAY2,4.08,AT43
PAY3,5.08,AT43
PAY4,5.489,AT43
PC12,4.5,AT43
PC21,3.13,AT43
PC24,8.15,AT43
PC6P,1.785,AT43
PC6T,3.969,AT43
PC7,3.13,AT43
PC9,3.13,AT43
PELI,0.45,AT43
PETL,0.45,AT43
PIAE,0.45,AT43
PIAT,1.406,AT43
PINO,1.4,AT43
PIPA,1.528,AT43
PISI,0.77,AT43
PIT4,1.106,AT43
PITA,0.54,AT43
PITE,0.54,AT43
PIVI,0.45,AT43
PL12,1.4,AT43
PL2,0.599,AT43
PNR2,0.45,AT43
PNR3,1.315,AT43
PNR4,1.406,AT43
PO60,0.599,AT43
PRM1,5.67,AT43
PROT,0.599,AT43
PRXT,3.969,AT43
PT70,0.454,AT43
PT80,0.454,AT43
PTS1,1.247,AT43
PTS2,0.45,AT43
PULR,0.454,AT43
PUP,0.599,AT43
PZ01,0.454,AT43
PZ04,1.157,AT43
PZ06,0.45,AT43
PZ3T,5.08,AT43
PZ4M,1.106,AT43
PZ6T,3.402,AT43
Q01,2.858,AT43
Q4,14.6,AT43
Q9,4.7,AT43
R100,1.28,AT43
R135,140.0,B752
R200,0.599,AT43
R300,1.157,AT43
R44,1.1,AT43
R721,72.575,B737
R722,86.4,A321
R90F,1.28,AT43
R90R,1.28,AT43
R90T,2.13,AT43
RALL,1.106,AT43
RANG,1.4,AT43
RC70,2.95,AT43
RD20,0.95,AT43
RF3,1.406,AT43
RF4,1.406,AT43
RF6,0.599,AT43
RFAL,21.773,AT76
RJ1H,44.999,E190
RJ70,43.999,CRJX
RJ85,43.999,CRJX
RS20,0.454,AT43
RV10,1.4,AT43
RV12,0.599,AT43
RV14,1.247,AT43
RV3,1.4,AT43
RV4,1.247,AT43
RV6,0.95,AT43
RV7,1.4,AT43
RV8,1.4,AT43
RV9,1.247,AT43
RYSA,6.6,AT43
S05F,1.28,AT43
S05R,1.406,AT43
S10,0.599,AT43
S108,0.45,AT43
S122,0.599,AT43
S200,2.719,AT43
S208,1.406,AT43
S210,51.8,E190
S211,5.22,AT43
S223,1.05,AT43
S22T,1.633,AT43
S2P,12.29,AT43
S2T,10.433,AT43
S3,23.133,AT76
S330,1.0,AT43
S450,0.45,AT43
S601,4.853,AT43
S65C,4.2,AT43
SA02,0.599,AT43
SA20,0.45,AT43
SA30,1.4,AT43
SA37,0.77,AT43
SA50,0.45,AT43
SAM,0.599,AT43
SASH,1.406,AT43
SATA,5.22,AT43
SAVG,0.45,AT43
SB05,5.22,AT43
SB20,22.8,AT76
SB29,7.0,AT43
SB32,7.0,AT43
SB35,21.773,AT76
SB37,21.773,AT76
SB39,21.773,AT76
SB91,1.315,AT43
SBR1,8.755,AT43
SBR2,8.755,AT43
SC01,1.247,AT43
SC7,6.4,AT43
SD4,0.45,AT43
SF2,0.454,AT43
SF23,0.45,AT43
SF24,0.54,AT43
SF25,0.54,AT43
SF27,0.54,AT43
SF31,0.77,AT43
SF34,13.155,AT43
SF50,2.719,AT43
SG37,0.77,AT43
SG70,0.45,AT43
SH33,12.29,AT43
SH36,12.29,AT43
SHRK,0.599,AT43
SIRA,0.599,AT43
SJ30,9.3,AT43
SK70,3.379,AT43
SLG2,0.599,AT43
SLG4,0.599,AT43
SLK3,0.95,AT43
SLK5,0.95,AT43
SM19,2.13,AT43
SM20,2.13,AT43
SM92,1.106,AT43
SNAP,0.599,AT43
SNTA,0.54,AT43
SOL1,2.719,AT43
SOL2,2.719,AT43
SORA,0.599,AT43
SP7,1.999,AT43
SR01,0.599,AT43
SR20,1.383,AT43
SR22,1.542,AT43
SREY,1.406,AT43
SS2T,3.402,AT43
SSAB,7.0,AT43
ST10,1.247,AT43
ST75,0.454,AT43
STAR,5.489,AT43
STRE,0.454,AT43
STRK,5.22,AT43
SU17,21.773,AT76
SU24,21.773,AT76
SU25,6.577,AT43
SU26,0.95,AT43
SU27,36.741,CRJX
SU7,7.0,AT43
SU95,45.88,E190
SUBA,1.406,AT43
SVNH,0.454,AT43
SW18,0.454,AT43
SW2,4.581,AT43
SW3,5.25,AT43
SW4,7.258,AT43
SX30,0.95,AT43
SYMP,1.28,AT43
T1,5.22,AT43
T10,0.599,AT43
T134,47.0,E190
T154,100.0,B752
T160,214.6,A332
T19,0.45,AT43
T2,5.22,AT43
T204,105.0,B752
T206,2.858,AT43
T210,2.717,AT43
T211,0.599,AT43
T22M,214.6,A332
T250,1.406,AT43
T28,5.489,AT43
T30,0.95,AT43
T33,7.0,AT43
T34P,1.4,AT43
T34T,2.13,AT43
T35,0.45,AT43
T37,5.22,AT43
T38,5.22,AT43
T4,7.0,AT43
T40,0.45,AT43
T411,1.106,AT43
T50S,36.741,CRJX
