,nid,flight_id,flt_num,ifps_id,callsign,airline,airline_type,origin,destination,gcdistance,long_short_dist,sobt,sibt,aircraft_type,mtow,wk_tbl_cat,registration,max_seats,pax_assigned_cc,ecac_200,exclude,prev_flight_nid,source,mandatory,aircraft_id
710,52348,180214367,THY_LTBALSZH04,AA34943325,THY1DL,THY,FSC,LTBA,LSZH,952,D,2014-09-12 12:25:00,2014-09-12 15:25:00,A321,87,M,TCJRU,168,165,both,0,45810.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN053
711,52349,180214368,THY_LOWWLTBA03,AA34943329,THY8LN,THY,FSC,LOWW,LTBA,676,D,2014-09-12 12:25:00,2014-09-12 14:35:00,B738,75,M,TCJFT,151,147,both,0,46380.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN126
712,52350,180214369,THY_LYPGLTBA01,AA34943324,THY1086,THY,FSC,LYPG,LTBA,437,D,2014-09-12 12:25:00,2014-09-12 14:10:00,A319,67,M,TCJLN,110,119,arr,0,47294.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN202
713,52353,180214372,THY_LTBADGAA01,AA34943364,THY629,THY,FSC,LTBA,DGAA,2662,I,2014-09-12 12:25:00,2014-09-12 19:25:00,B739,80,M,TCJYI,170,178,dep,0,46055.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN017
714,52354,180214373,THY_LTBALTCJ02,AA34943458,THY5HQ,THY,FSC,LTBA,LTCJ,599,D,2014-09-12 12:25:00,2014-09-12 13:50:00,A319,67,M,TCJLR,110,109,dep,0,46377.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN144
715,52356,180214375,THY_LTBADBBB01,AA34944121,THY561,THY,FSC,LTBA,DBBB,2517,I,2014-09-12 12:25:00,2014-09-12 19:05:00,B739,80,M,TCJYD,170,165,dep,0,35609.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN119
716,52367,180214386,THY_LTBALTCR01,AA34942028,THY5VA,THY,FSC,LTBA,LTCR,595,D,2014-09-12 12:28:00,2014-09-12 13:57:00,A320,74,M,TCJUK,133,127,dep,0,43203.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN189
717,52504,180214523,THY_LTFJLTAJ02,AA34941679,THY5VU,THY,FSC,LTFJ,LTAJ,450,D,2014-09-12 12:30:00,2014-09-12 13:41:00,B737,66,M,TCSAG,119,118,dep,0,47923.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN186
718,52521,180214540,THY_EDDWLTBA01,AA34943522,THY8VQ,THY,FSC,EDDW,LTBA,1089,D,2014-09-12 12:30:00,2014-09-12 15:35:00,B738,75,M,TCJGU,151,141,both,0,44822.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,0,CSN052
719,52523,180214542,THY_LTBALTDA02,AA34943639,THY3LK,THY,FSC,LTBA,LTDA,447,D,2014-09-12 12:30:00,2014-09-12 13:50:00,A320,74,M,TCJPS,133,119,dep,0,46378.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN015
720,52549,180214568,THY_LTBALTCG04,AA34947387,THY8LE,THY,FSC,LTBA,LTCG,497,D,2014-09-12 12:30:00,2014-09-12 13:43:00,A319,67,M,TCJLU,110,111,both,0,48380.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN080
721,52678,180214697,THY_LTFJLTAU02,AA34941707,THY7296,THY,FSC,LTFJ,LTAU,313,D,2014-09-12 12:35:00,2014-09-12 13:50:00,B738,75,M,TCSBI,151,146,dep,0,45808.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN230
722,52689,180214708,THY_LTAILTBA10,AA34943641,THY4WB,THY,FSC,LTAI,LTBA,262,D,2014-09-12 12:35:00,2014-09-12 13:33:00,A320,74,M,TCJBI,133,126,both,0,49045.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN073
723,52690,180214709,THY_LJLJLTBA01,AA34943668,THY6CJ,THY,FSC,LJLJ,LTBA,699,D,2014-09-12 12:35:00,2014-09-12 14:56:00,A320,74,M,TCJPJ,133,124,both,0,46815.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN077
724,52691,180214710,THY_LFMLLTBA01,AA34943671,THY2PJ,THY,FSC,LFML,LTBA,1057,D,2014-09-12 12:35:00,2014-09-12 15:42:00,B738,75,M,TCJGB,151,129,both,0,44823.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN115
725,52692,180214711,THY_LTBAEDDS03,AA34943669,THY74S,THY,FSC,LTBA,EDDS,951,D,2014-09-12 12:35:00,2014-09-12 15:35:00,A333,231,H,TCJNM,231,215,both,0,33761.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN008
